original_ven_id,hash_ven_id,latitude,longitude,zone_id,name,address,venue_type,rating,price,type_mod,zone_group,image,description,location_id,venue_mod_type
ven_30356e77514c7172685648526b6f7759524947385130624a496843,47508476,40.7875,-73.9764,239,Han Dynasty Upper West Side,"215 W 85th St New York, NY 10024 United States",CHINESE_RESTAURANT,4.4,2.0,Chinese Restaurant,Upper West Side,"https://images.getbento.com/accounts/845ffc258c5f1e7b27e20b8d111e8430/media/images/34722BK_Exterior_1.HEIC?w=1800&fit=max&auto=compress,format&h=1800","Trendy area with cafes, restaurants and fashionable shops.",143368,Chinese Restaurant
ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,88409575,40.777,-73.9785,142,Friedman’s,"50 W 72nd St New York, NY 10023 United States",AMERICAN_RESTAURANT,4.4,2.0,American Restaurant,Upper West Side,https://lh3.googleusercontent.com/p/AF1QipM8N3dwVn4yAQtEK8nKSsGJScSTk7BrSMELOAeM=s1360-w1360-h1020,"Friedman’s is a local restaurant and bar located in the heart of downtown San Francisco. The restaurant is known for its fresh, made-to-order food and its wide selection of local and craft beers. The bar is a popular destination for after-work drinks and ",0,American Restaurant
ven_303749644b67576e694b55526b6f7759685f4a445761324a496843,1030056,40.7758,-73.9752,43,Strawberry Fields,"Q2GG+83 New York, NY 10019 United States",TOURIST_DESTINATION,4.6,-1.0,Tourist Destination,Upper West Side,https://s3.amazonaws.com/assets.centralparknyc.org/media/images/locations/_1650x767_crop_center-center_none/StrawberryFields2_AH9A8743.jpg,"Strawberry Fields is a music venue located in the heart of downtown Los Angeles. The venue has a capacity of 1,000 people and features a large stage, a dance floor, and a bar. The venue is known for its eclectic mix of music, which includes everything fro",0,Tourist Destination
ven_3038654c546f3936784873526b6f775a314864677151534a496843,23854076,40.758,-73.9853,230,Time Square,"199 W 45th St New York, NY 10036 United States",RESTAURANT,4.7,-1.0,Restaurant,Midtown Manhattan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/New_york_times_square-terabass.jpg/1080px-New_york_times_square-terabass.jpg,"Time Square is a world-famous entertainment district in Midtown Manhattan, New York City. It is one of the most visited tourist attractions in the world, and is home to some of the city's most iconic landmarks and attractions, including Broadway theatres,",0,Restaurant
ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,20848781,40.7776,-73.9784,142,TAP NYC | 100% Gluten-Free Sandwiches & Açaí Bowls | Upper West Side,"267 Columbus Ave New York, NY 10023 United States",RESTAURANT,4.6,2.0,Restaurant,Upper West Side,https://lh3.googleusercontent.com/p/AF1QipNBybcsPlqp6gMyO5no7aLhf06ka5nug656mluC=s1360-w1360-h1020,"TAP NYC is a 100% gluten-free sandwich and açaí bowl shop located on the Upper West Side. The shop has a clean and modern aesthetic, with white walls and bright lighting. There is a large counter where customers can order, and a few small tables for seati",0,Restaurant
ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,43331760,40.763,-73.9767,161,The Consulate,"44 W 56th St New York, NY 10019 United States",FRENCH_RESTAURANT,4.8,-1.0,French Restaurant,Midtown Manhattan,https://s3-media0.fl.yelpcdn.com/bphoto/zvwIqhY-Oc1qIX6UONNCjw/o.jpg,"The Consulate is a large, modern venue located in the heart of the city. It has a capacity of up to 1,000 people and features a state-of-the-art sound system and lighting. The venue is perfect for large events such as concerts, conferences, and weddings.",0,French Restaurant
ven_3046564f552d3633755343526b6f77595649495368324c4a496843,77654852,40.7857,-73.9726,239,The Viand,"517 Columbus Ave New York, NY 10024 United States",BREAKFAST_RESTAURANT,4.3,2.0,Breakfast Restaurant,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-s/1a/14/6f/dd/entrance.jpg,"The Viand is a restaurant located in New York, New York. The Viand specializes in American cuisine, and offers a wide variety of menu items. The Viand is open for breakfast, lunch, and dinner, and also offers a catering service. The Viand has a casual atm",0,Breakfast Restaurant
ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,82820658,40.7911,-73.974,238,Carmine's Italian Restaurant - Upper West Side,"2450 Broadway New York, NY 10024 United States",ITALIAN_RESTAURANT,4.4,2.0,Italian Restaurant,Upper West Side,https://media-cdn.tripadvisor.com/media/photo-s/10/b1/28/a9/carmines-on-w-44th-st.jpg,"Carmine's Italian Restaurant - Upper West Side is a cozy little spot serving up some of the best Italian food in the city. The restaurant is located on the Upper West Side of Manhattan, close to Central Park and the Museum of Natural History. The decor is",0,Italian Restaurant
ven_304961777454515336474c526b6f775a4e5173735733524a496843,55261692,40.7512,-73.9749,162,The Capital Grille,"155 E 42nd St New York, NY 10017 United States",RESTAURANT,4.6,4.0,Restaurant,Midtown Manhattan,https://newyorklifestylesmagazine.com/images/content/2019/10/72/72_01.jpg,"The Capital Grille is an upscale steakhouse with a sophisticated atmosphere. The restaurant is known for its dry-aged steaks, fresh seafood, and extensive wine list. The Capital Grille also offers an extensive menu of vegetarian and gluten-free options. T",0,Restaurant
ven_304a6c77747a366c755455526b6f77594a7070575959454a496843,57103262,40.7739,-73.971,43,Bethesda Terrace,"New York, NY 10024 United States",HISTORICAL,4.7,-1.0,Cultural Heritage,Upper West Side,https://upload.wikimedia.org/wikipedia/commons/d/d9/Angel_of_the_Waters_Fountain_and_Bethesda_Terrace%2C_Central_Park%2C_NYC.jpg,"Bethesda Terrace is an iconic New York City landmark located in Central Park. The terrace overlooks The Lake and is flanked by two grand staircases. It is a popular spot for tourists and locals alike, and is often used as a backdrop for films and televisi",10067208,Cultural Heritage
