time,temperature_2m (°C),apparent_temperature (°C),precipitation_probability (%),weathercode (wmo code),visibility (m),windspeed_10m (km/h)
2023-06-19T00:00,24.7,24.2,0,0,43200,7.1
2023-06-19T01:00,23.1,22.1,0,0,44600,7.2
2023-06-19T02:00,21.7,21.2,0,0,37700,4.1
2023-06-19T03:00,21,20.9,0,0,34800,3.1
2023-06-19T04:00,20.8,20.1,0,0,36600,6.1
2023-06-19T05:00,19.5,19.2,0,0,28900,5.5
2023-06-19T06:00,19.1,19.1,0,0,24900,6.1
2023-06-19T07:00,18.8,18.7,0,0,24600,6.6
2023-06-19T08:00,18.5,18.5,0,0,23200,6.1
2023-06-19T09:00,17.9,18.1,0,0,20200,6.6
2023-06-19T10:00,18,18,0,2,22400,6.2
2023-06-19T11:00,18.6,18.2,0,0,22000,9.8
2023-06-19T12:00,19.7,19.6,0,1,22700,9.8
2023-06-19T13:00,21.3,21.7,0,0,24100,8.7
2023-06-19T14:00,22.1,23.3,0,1,23900,11
2023-06-19T15:00,22.9,24.8,0,3,24000,11.5
2023-06-19T16:00,22.9,24.9,0,0,22600,12.6
2023-06-19T17:00,24.6,27.7,0,1,29300,8.9
2023-06-19T18:00,26,28.4,0,1,33200,11.8
2023-06-19T19:00,26.2,28.7,0,0,33400,9
2023-06-19T20:00,25.8,26.9,0,0,31000,10.1
2023-06-19T21:00,25.6,26.2,0,1,29700,12.4
2023-06-19T22:00,25.4,25.6,0,0,31300,13.5
2023-06-19T23:00,23.1,23.1,0,1,26300,12.7
2023-06-20T00:00,22.1,22.2,0,0,25900,11.4
2023-06-20T01:00,20.8,21.3,0,0,22200,8.4
2023-06-20T02:00,19.6,20.3,0,1,19600,7.8
2023-06-20T03:00,18.7,19.2,0,1,19400,6.9
2023-06-20T04:00,19,19.7,0,3,17600,7.7
2023-06-20T05:00,18.8,19.1,0,1,16800,11.6
2023-06-20T06:00,18.3,18.7,0,3,14100,12.4
2023-06-20T07:00,18,18.2,0,3,14800,11.7
2023-06-20T08:00,17.6,17.6,0,3,15800,11.1
2023-06-20T09:00,17.6,17.9,0,3,16500,8.7
2023-06-20T10:00,17.5,17.1,0,3,16200,13.5
2023-06-20T11:00,17.5,17.7,0,3,14900,10.6
2023-06-20T12:00,18.3,18.4,0,3,16400,10.7
2023-06-20T13:00,18.6,19,0,3,16000,10.4
2023-06-20T14:00,18.9,18.8,0,3,16800,13.4
2023-06-20T15:00,19.5,19.9,0,3,15100,13.8
2023-06-20T16:00,21.2,22.2,0,3,17900,10.3
2023-06-20T17:00,22.6,25.2,0,3,21500,10.4
2023-06-20T18:00,23.5,26.5,0,3,22700,11.9
2023-06-20T19:00,24.4,25.7,0,3,27100,9.9
2023-06-20T20:00,24.4,25.3,0,3,25800,13.5
2023-06-20T21:00,24.3,24.5,0,3,28400,13
2023-06-20T22:00,23.9,23.5,0,3,35700,10.9
2023-06-20T23:00,22.8,21.6,0,3,37700,12.7
2023-06-21T00:00,21.2,19.9,0,3,34100,11.3
2023-06-21T01:00,20.1,19,0,0,35000,8.4
2023-06-21T02:00,19.2,17.9,0,0,34700,8.4
2023-06-21T03:00,18,16.7,0,0,28900,9.2
2023-06-21T04:00,17,15.9,0,1,21700,11.6
2023-06-21T05:00,16.9,16,0,1,18000,13
2023-06-21T06:00,16.8,16,0,0,16100,14.1
2023-06-21T07:00,16.1,14.8,0,0,17200,14.9
2023-06-21T08:00,15.5,14.5,0,3,15400,13.4
2023-06-21T09:00,15.9,14.8,0,3,15100,15.3
2023-06-21T10:00,15.7,14.9,0,3,14000,13.5
2023-06-21T11:00,16,14.5,0,3,16200,17.4
2023-06-21T12:00,16.3,14.6,0,3,16800,18.6
2023-06-21T13:00,17.4,15.7,0,3,17200,19.9
2023-06-21T14:00,17.9,16.3,0,2,18400,23.5
2023-06-21T15:00,19,18.4,0,3,21100,22.4
2023-06-21T16:00,19,18,0,3,17200,22.9
2023-06-21T17:00,19.1,18,0,3,18200,20.3
2023-06-21T18:00,20.3,21.2,0,3,21200,17.6
2023-06-21T19:00,21.8,21.5,1,3,30100,17.6
2023-06-21T20:00,21.5,20.9,2,3,25700,18.5
2023-06-21T21:00,22.1,21,3,3,29200,16.1
2023-06-21T22:00,21.6,19.9,4,3,32100,17.4
2023-06-21T23:00,20.8,19.5,5,3,27900,15.6
2023-06-22T00:00,20.4,20,6,3,28000,9.2
2023-06-22T01:00,19.8,19.2,5,3,28800,8.3
2023-06-22T02:00,18.6,17.5,4,3,27000,11
2023-06-22T03:00,17.5,15.4,3,1,29900,13.7
2023-06-22T04:00,17.7,15.7,17,3,28000,14
2023-06-22T05:00,16.7,15.1,31,3,25600,11.5
2023-06-22T06:00,16.7,15,45,3,23800,13.8
2023-06-22T07:00,16.5,14.6,59,3,21600,15.9
2023-06-22T08:00,16.5,15,73,3,20900,14.3
2023-06-22T09:00,15.9,14.6,87,3,16800,15
2023-06-22T10:00,15.4,14.1,87,3,14800,16.1
2023-06-22T11:00,15,14.3,87,3,12900,13.2
2023-06-22T12:00,15,13.6,87,3,13600,17.1
2023-06-22T13:00,16.1,14.9,60,3,15900,16.6
2023-06-22T14:00,15.7,13.9,33,3,15600,19
2023-06-22T15:00,16.8,14.7,6,3,16400,21.7
2023-06-22T16:00,17,14.7,4,3,17400,22.6
2023-06-22T17:00,17.5,15.5,2,3,17800,22.2
2023-06-22T18:00,19.1,17.1,0,3,20900,21.6
2023-06-22T19:00,19.5,17.6,0,3,20900,21.2
2023-06-22T20:00,21,19.9,0,3,23800,18.4
2023-06-22T21:00,20.2,19.7,0,3,22200,14
2023-06-22T22:00,20.6,20,0,3,24300,12.5
2023-06-22T23:00,20.6,20.5,0,3,20000,13.8
2023-06-23T00:00,20,20.5,0,3,21800,7.4
2023-06-23T01:00,19.2,19.9,0,3,19900,5.8
