latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.38,-6.26,42.0,-14400,America/New_York,EDT

time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),weathercode (wmo code),visibility (m),windspeed_10m (km/h)
2023-06-19T00:00,15.7,14.8,0.00,3,24140.00,13.4
2023-06-19T01:00,15.0,13.9,0.00,2,24140.00,13.8
2023-06-19T02:00,16.0,16.2,0.00,1,24140.00,6.0
2023-06-19T03:00,17.1,16.9,0.00,0,24140.00,8.7
2023-06-19T04:00,17.9,16.4,0.00,0,24140.00,16.6
2023-06-19T05:00,18.8,17.5,0.00,0,24140.00,15.9
2023-06-19T06:00,19.6,18.5,0.00,0,24140.00,14.2
2023-06-19T07:00,21.1,19.6,0.00,1,12440.00,14.3
2023-06-19T08:00,21.6,20.3,0.00,1,23040.00,13.1
2023-06-19T09:00,21.6,21.1,0.00,2,16120.00,12.6
2023-06-19T10:00,22.0,21.0,0.10,51,12240.00,13.2
2023-06-19T11:00,21.3,18.7,0.30,51,11620.00,24.6
2023-06-19T12:00,19.4,19.7,0.10,51,12360.00,11.2
2023-06-19T13:00,21.4,20.2,0.10,51,12620.00,16.6
2023-06-19T14:00,21.4,20.3,0.00,0,15620.00,14.3
2023-06-19T15:00,20.9,19.6,0.00,0,19640.00,16.4
2023-06-19T16:00,20.0,18.6,0.00,1,24140.00,17.0
2023-06-19T17:00,18.9,18.0,0.00,2,24140.00,13.3
2023-06-19T18:00,18.0,18.2,0.00,3,24140.00,6.3
2023-06-19T19:00,17.4,17.7,0.00,3,24140.00,5.6
2023-06-19T20:00,15.9,15.6,0.00,3,24140.00,7.6
2023-06-19T21:00,15.4,15.4,0.00,3,24140.00,5.4
2023-06-19T22:00,14.8,15.1,0.00,2,24140.00,2.7
2023-06-19T23:00,13.9,13.7,0.00,3,24140.00,5.8
2023-06-20T00:00,13.9,14.2,0.00,3,24140.00,2.7
2023-06-20T01:00,13.9,14.1,0.00,3,24140.00,2.9
2023-06-20T02:00,15.9,15.8,0.00,3,24140.00,5.4
2023-06-20T03:00,17.7,17.9,0.00,3,24140.00,2.2
2023-06-20T04:00,19.0,19.0,0.00,3,23260.00,3.3
2023-06-20T05:00,20.0,19.9,0.00,2,10560.00,4.7
2023-06-20T06:00,20.0,19.7,0.10,51,19640.00,6.5
2023-06-20T07:00,19.7,19.3,0.60,53,8540.00,8.1
2023-06-20T08:00,17.4,18.2,0.40,51,12900.00,9.3
2023-06-20T09:00,19.6,19.6,0.40,51,16180.00,10.8
2023-06-20T10:00,18.3,18.8,0.50,53,16080.00,10.9
2023-06-20T11:00,20.3,20.6,3.20,81,10000.00,11.7
2023-06-20T12:00,20.9,20.6,3.00,81,18780.00,14.0
2023-06-20T13:00,19.3,20.1,0.10,51,19920.00,10.9
2023-06-20T14:00,20.1,20.4,1.50,61,16480.00,7.7
2023-06-20T15:00,18.2,19.0,1.10,55,20960.00,8.5
2023-06-20T16:00,18.9,19.9,0.10,51,21880.00,5.2
2023-06-20T17:00,18.4,17.9,0.00,3,24140.00,11.2
2023-06-20T18:00,17.4,16.3,0.00,3,24140.00,12.5
2023-06-20T19:00,17.0,15.3,0.00,3,24140.00,14.2
2023-06-20T20:00,16.7,16.2,0.00,3,24140.00,9.2
2023-06-20T21:00,16.0,15.1,0.00,2,24140.00,12.3
2023-06-20T22:00,15.5,14.3,0.00,2,24140.00,12.9
2023-06-20T23:00,14.9,13.6,0.00,1,24140.00,14.0
2023-06-21T00:00,14.7,13.3,0.00,2,24140.00,14.5
2023-06-21T01:00,14.9,13.4,0.00,3,24140.00,15.5
2023-06-21T02:00,15.6,14.2,0.00,2,24140.00,15.3
2023-06-21T03:00,16.6,15.6,0.00,2,24140.00,14.3
2023-06-21T04:00,17.8,17.0,0.00,3,24140.00,12.8
2023-06-21T05:00,18.2,17.5,0.00,3,24140.00,12.8
2023-06-21T06:00,19.3,18.4,0.00,3,24140.00,12.6
2023-06-21T07:00,20.7,20.1,0.00,1,13260.00,10.0
2023-06-21T08:00,20.8,19.3,0.00,1,13620.00,14.5
2023-06-21T09:00,20.3,19.5,0.00,1,12600.00,14.2
2023-06-21T10:00,21.6,22.5,0.10,51,17680.00,1.8
2023-06-21T11:00,23.3,21.3,0.10,51,17620.00,16.3
2023-06-21T12:00,21.7,20.1,0.10,51,9660.00,19.3
2023-06-21T13:00,19.5,19.0,0.90,53,8540.00,14.8
2023-06-21T14:00,21.5,19.7,0.30,51,18020.00,16.3
2023-06-21T15:00,20.5,19.4,0.00,0,12960.00,12.1
2023-06-21T16:00,19.3,18.7,0.00,1,24140.00,11.5
2023-06-21T17:00,18.2,17.8,0.00,1,24140.00,8.0
2023-06-21T18:00,17.0,16.9,0.00,2,24140.00,7.2
2023-06-21T19:00,16.1,16.1,0.00,3,24140.00,6.0
2023-06-21T20:00,15.8,16.2,0.00,1,24140.00,3.7
2023-06-21T21:00,15.4,16.2,0.00,1,24140.00,1.5
2023-06-21T22:00,13.6,13.1,0.00,1,24140.00,8.5
2023-06-21T23:00,13.0,12.4,0.00,2,24140.00,9.9
2023-06-22T00:00,14.9,15.2,0.00,2,24140.00,7.7
2023-06-22T01:00,15.7,16.3,0.00,2,24140.00,5.9
2023-06-22T02:00,15.6,15.7,0.00,3,24140.00,8.4
2023-06-22T03:00,16.9,16.7,0.00,2,24140.00,8.1
2023-06-22T04:00,18.1,17.6,0.00,1,24140.00,8.3
2023-06-22T05:00,19.3,18.5,0.00,1,24140.00,9.2
2023-06-22T06:00,20.5,19.7,0.00,0,24140.00,8.6
2023-06-22T07:00,20.2,19.3,0.00,0,24140.00,12.3
2023-06-22T08:00,18.3,17.3,0.00,0,24140.00,15.8
2023-06-22T09:00,19.3,18.3,0.00,0,24140.00,15.0
2023-06-22T10:00,19.6,18.4,0.00,0,24140.00,15.5
2023-06-22T11:00,19.1,18.0,0.00,0,24140.00,15.6
2023-06-22T12:00,18.5,17.6,0.00,1,24140.00,14.3
2023-06-22T13:00,17.8,16.9,0.00,3,24140.00,14.8
2023-06-22T14:00,17.2,16.1,0.20,51,24140.00,15.9
2023-06-22T15:00,16.8,16.1,0.00,3,24140.00,13.5
2023-06-22T16:00,16.4,15.9,0.00,3,24140.00,12.1
2023-06-22T17:00,15.5,15.3,0.00,3,21980.00,10.0
2023-06-22T18:00,15.5,15.6,0.00,3,24140.00,7.6
2023-06-22T19:00,15.8,16.0,0.00,3,24140.00,6.3
2023-06-22T20:00,15.7,16.0,0.00,3,24140.00,5.1
2023-06-22T21:00,16.2,15.4,0.00,3,24140.00,7.1
2023-06-22T22:00,16.7,15.2,0.00,3,24140.00,14.6
2023-06-22T23:00,16.5,15.8,0.00,3,9720.00,8.8
2023-06-23T00:00,15.6,15.5,0.30,51,24140.00,7.2
2023-06-23T01:00,16.5,15.2,0.90,53,14420.00,13.0
2023-06-23T02:00,15.6,15.1,1.80,61,24140.00,10.7
2023-06-23T03:00,15.7,15.2,1.20,55,24140.00,13.0
2023-06-23T04:00,16.4,15.8,2.20,61,24140.00,13.4
2023-06-23T05:00,16.8,16.2,4.00,63,24140.00,14.3
2023-06-23T06:00,18.3,16.9,0.80,53,24140.00,22.3
2023-06-23T07:00,19.7,19.2,0.00,3,24140.00,20.5
2023-06-23T08:00,21.7,21.2,0.00,2,24140.00,20.1
2023-06-23T09:00,22.9,22.0,0.00,2,24140.00,21.7
2023-06-23T10:00,24.2,22.6,0.00,3,17860.00,21.8
2023-06-23T11:00,23.4,23.0,0.00,3,24140.00,17.1
2023-06-23T12:00,22.6,22.3,0.10,51,12100.00,21.5
2023-06-23T13:00,20.2,19.9,0.10,51,22540.00,19.7
2023-06-23T14:00,21.0,20.6,0.10,51,24140.00,21.2
2023-06-23T15:00,19.7,19.5,0.00,3,24140.00,19.1
2023-06-23T16:00,19.6,18.9,0.00,2,24140.00,21.4
2023-06-23T17:00,19.4,18.3,0.00,3,24140.00,23.4
2023-06-23T18:00,19.1,17.6,0.00,3,24140.00,25.5
2023-06-23T19:00,18.8,16.8,0.00,3,24140.00,27.2
2023-06-23T20:00,18.6,16.2,0.00,3,24140.00,28.5
2023-06-23T21:00,18.5,16.8,0.00,3,24140.00,26.5
2023-06-23T22:00,18.7,16.4,0.00,3,24140.00,30.1
2023-06-23T23:00,18.5,16.0,0.00,3,24140.00,30.0
2023-06-24T00:00,18.2,15.6,0.00,3,24140.00,30.6
2023-06-24T01:00,18.3,15.6,0.00,3,24140.00,31.3
2023-06-24T02:00,18.7,15.9,0.00,3,24140.00,32.3
2023-06-24T03:00,19.0,16.3,0.00,2,24140.00,31.6
2023-06-24T04:00,19.5,17.2,0.00,3,24140.00,29.0
2023-06-24T05:00,20.2,18.6,0.00,2,24140.00,24.5
2023-06-24T06:00,21.2,19.8,0.00,2,24140.00,23.4
2023-06-24T07:00,22.2,21.7,0.00,3,24140.00,22.4
2023-06-24T08:00,23.3,23.4,0.00,3,24140.00,21.2
2023-06-24T09:00,24.0,24.0,0.00,3,24140.00,20.9
2023-06-24T10:00,24.6,24.6,0.00,3,24140.00,19.9
2023-06-24T11:00,24.6,23.9,0.00,3,24140.00,22.3
2023-06-24T12:00,24.3,23.6,0.00,3,24140.00,21.4
2023-06-24T13:00,23.9,23.2,0.00,3,24140.00,20.1
2023-06-24T14:00,23.3,23.0,0.00,2,24140.00,17.2
2023-06-24T15:00,22.6,22.7,0.00,2,24140.00,13.7
2023-06-24T16:00,21.7,22.1,0.00,2,24140.00,10.1
2023-06-24T17:00,20.2,20.8,0.00,1,24140.00,7.6
2023-06-24T18:00,18.8,19.8,0.00,1,24140.00,4.9
2023-06-24T19:00,18.0,19.6,0.00,2,24140.00,1.1
2023-06-24T20:00,17.5,18.9,0.00,2,24140.00,1.1
2023-06-24T21:00,16.9,18.4,0.00,2,24140.00,0.4
2023-06-24T22:00,16.5,17.2,0.00,2,24140.00,4.3
2023-06-24T23:00,16.5,15.5,0.00,2,24140.00,10.2
2023-06-25T00:00,16.0,14.8,0.00,3,23680.00,10.2
2023-06-25T01:00,16.1,15.2,0.00,2,24140.00,10.8
2023-06-25T02:00,16.9,16.8,0.00,1,10500.00,6.6
2023-06-25T03:00,19.0,17.0,0.00,1,18980.00,16.6
2023-06-25T04:00,20.4,18.5,0.00,2,12660.00,15.6
2023-06-25T05:00,20.9,18.9,0.10,51,4220.00,18.2
2023-06-25T06:00,19.9,17.4,0.30,51,23120.00,23.4
2023-06-25T07:00,18.8,17.8,1.70,61,20440.00,20.8
2023-06-25T08:00,19.4,17.8,0.20,51,11280.00,26.9
2023-06-25T09:00,20.3,19.7,0.10,51,17920.00,22.4
2023-06-25T10:00,21.7,22.1,0.10,51,20000.00,21.7
2023-06-25T11:00,21.5,20.1,0.10,51,24140.00,19.7
2023-06-25T12:00,21.9,20.4,0.00,3,22620.00,20.6
2023-06-25T13:00,21.0,17.7,0.00,3,19220.00,23.0
2023-06-25T14:00,20.8,18.2,0.00,2,24140.00,19.7
2023-06-25T15:00,19.5,15.0,0.00,1,24140.00,28.7
2023-06-25T16:00,18.4,14.8,0.00,0,24140.00,23.5
2023-06-25T17:00,17.2,13.4,0.00,3,24140.00,25.8
2023-06-25T18:00,16.2,12.6,0.00,3,24140.00,23.4
2023-06-25T19:00,15.6,12.4,0.00,3,24140.00,20.5
2023-06-25T20:00,15.0,12.1,0.00,2,24140.00,19.4
2023-06-25T21:00,14.5,11.8,0.00,3,24140.00,18.4
2023-06-25T22:00,14.2,11.8,0.00,3,24140.00,16.1
