time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),weathercode (wmo code),visibility (m),windspeed_10m (km/h)
2023-07-03T00:00,25.3,29.2,0,3,17000,7.2
2023-07-03T01:00,25.5,28.8,0,3,19500,8.4
2023-07-03T02:00,24.3,27.8,0,3,15000,9.2
2023-07-03T03:00,24,27.7,0,3,15100,7.6
2023-07-03T04:00,24.1,27.7,0,3,14900,9
2023-07-03T05:00,23,26.1,0,3,14200,9.2
2023-07-03T06:00,23,26.4,0,2,14500,7.6
2023-07-03T07:00,22.3,25.6,0,0,13100,7.1
2023-07-03T08:00,22.3,25.7,0,0,13900,5.4
2023-07-03T09:00,22,25.1,0,0,14400,5.4
2023-07-03T10:00,22.1,25.2,0,2,14700,5.8
2023-07-03T11:00,23.3,26.8,0,0,15400,7.2
2023-07-03T12:00,23.8,26.7,0,2,17800,8.5
2023-07-03T13:00,24.8,28.8,0,0,17100,6.6
2023-07-03T14:00,26.7,32,0,0,22100,3.6
2023-07-03T15:00,28.5,34.7,0,0,24300,3.3
2023-07-03T16:00,29.4,36.9,0,0,24000,2.9
2023-07-03T17:00,30.4,37.4,0,1,26300,4.8
2023-07-03T18:00,30.6,35.4,0,2,27300,9.9
2023-07-03T19:00,31.8,36.7,0,1,32200,11.2
2023-07-03T20:00,31.1,35.3,0,96,27500,15.1
2023-07-03T21:00,30.9,34.1,0,96,27500,14.7
2023-07-03T22:00,30.5,34.1,0,96,25000,13.6
2023-07-03T23:00,29,32.5,0,95,24800,10.5
2023-07-04T00:00,28.3,31.5,0,3,28000,6.4
2023-07-04T01:00,28.1,30.2,0,3,29600,10.5
2023-07-04T02:00,26.2,29.8,0,3,20600,6.5
2023-07-04T03:00,25.2,28.7,0,3,17200,9.4
2023-07-04T04:00,24.2,28.2,0,3,15500,5.6
2023-07-04T05:00,23.6,27.1,0,3,14900,6.2
2023-07-04T06:00,23.7,28.2,0,3,15500,0.4
2023-07-04T07:00,22.8,27.3,0,3,13200,1
2023-07-04T08:00,23,27.5,0,3,12200,3.6
2023-07-04T09:00,23.1,27.2,0,0,14300,2.1
2023-07-04T10:00,22.9,26.8,0,1,14000,4.1
2023-07-04T11:00,23.9,28.4,0,1,14800,1.5
2023-07-04T12:00,25,28.8,0,3,18900,3.6
2023-07-04T13:00,25.8,30.4,0,3,16800,3.5
2023-07-04T14:00,26.6,31.2,0,3,18100,5.2
2023-07-04T15:00,26.1,31,0,95,16700,3.6
2023-07-04T16:00,24,29.3,0,3,12500,2.1
2023-07-04T17:00,27.2,34.7,0,95,16900,6.4
2023-07-04T18:00,29.1,35.4,0,2,22200,1.9
2023-07-04T19:00,25.1,28.6,17.3,81,18700,9.4
2023-07-04T20:00,25.5,29.7,0,1,17100,7.3
2023-07-04T21:00,26.1,30.9,0,3,16000,7.4
2023-07-04T22:00,26.6,31.2,0,3,19500,3.1
2023-07-04T23:00,26.4,30.6,0,3,22500,0.8
2023-07-05T00:00,26.1,30.4,0,1,20800,2.2
2023-07-05T01:00,24.5,28.2,0,0,17000,5.6
2023-07-05T02:00,24.1,28.4,0,0,15700,2.6
2023-07-05T03:00,23.2,27.1,0,0,13500,6.2
2023-07-05T04:00,22.7,26.8,0,0,13300,3.1
2023-07-05T05:00,22.1,25.9,0,0,13300,3.1
2023-07-05T06:00,22.1,26.2,0,1,12700,1.5
2023-07-05T07:00,22,25.9,0,0,12200,2.7
2023-07-05T08:00,21.7,25.3,0,3,12900,2.9
2023-07-05T09:00,21.5,25.4,0,1,12200,1.5
2023-07-05T10:00,21.4,25.1,0,0,13000,1.9
2023-07-05T11:00,22.6,27.1,0,0,13100,1.1
2023-07-05T12:00,24.1,28.4,0,0,15300,3.6
2023-07-05T13:00,26.3,29.8,0,0,23200,5.1
