latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.78858,-73.966095,45.0,0,GMT,GMT

time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),weathercode (wmo code),visibility (m),windspeed_10m (km/h)
2023-07-17T00:00,24.9,29.7,0.00,3,13600.00,6.7
2023-07-17T01:00,24.6,29.7,0.00,3,12600.00,4.9
2023-07-17T02:00,24.4,29.4,0.00,1,13300.00,4.0
2023-07-17T03:00,24.4,30.0,0.00,1,12800.00,1.3
2023-07-17T04:00,24.2,29.5,0.00,0,12800.00,1.5
2023-07-17T05:00,23.9,29.1,0.00,0,12900.00,1.1
2023-07-17T06:00,23.7,28.8,0.00,0,12400.00,1.1
2023-07-17T07:00,23.5,27.7,0.00,0,12200.00,7.9
2023-07-17T08:00,23.3,27.7,0.00,0,12200.00,4.9
2023-07-17T09:00,22.8,27.5,0.00,0,12200.00,2.5
2023-07-17T10:00,22.6,27.4,0.00,0,12200.00,0.0
2023-07-17T11:00,23.2,27.8,0.00,3,12200.00,4.3
2023-07-17T12:00,24.0,28.6,0.00,3,12500.00,5.7
2023-07-17T13:00,25.4,29.9,0.00,45,300.00,5.8
2023-07-17T14:00,27.3,32.4,0.00,0,22800.00,4.3
2023-07-17T15:00,28.4,33.3,0.00,1,28900.00,6.6
2023-07-17T16:00,30.6,36.4,0.00,0,37100.00,2.6
2023-07-17T17:00,32.6,38.2,0.00,0,42700.00,2.5
2023-07-17T18:00,32.5,38.4,0.00,0,37500.00,3.2
2023-07-17T19:00,32.9,36.7,0.00,0,43800.00,8.4
2023-07-17T20:00,32.5,34.6,0.00,0,41300.00,13.2
2023-07-17T21:00,31.7,33.2,0.00,1,38600.00,15.3
2023-07-17T22:00,32.3,33.6,0.00,0,45500.00,11.6
2023-07-17T23:00,27.5,30.4,0.00,0,19100.00,16.7
2023-07-18T00:00,26.7,29.3,0.00,0,20800.00,14.8
2023-07-18T01:00,25.9,28.6,0.00,0,21400.00,10.7
2023-07-18T02:00,25.8,29.5,0.00,0,21000.00,5.8
2023-07-18T03:00,25.3,29.8,0.00,2,17700.00,4.0
2023-07-18T04:00,25.3,29.2,0.00,0,17900.00,7.0
2023-07-18T05:00,25.2,29.2,0.00,0,20200.00,3.3
2023-07-18T06:00,24.7,27.2,0.00,0,21700.00,9.5
2023-07-18T07:00,23.5,26.7,0.00,0,16500.00,7.1
2023-07-18T08:00,23.7,27.5,0.00,0,18000.00,1.5
2023-07-18T09:00,23.1,27.3,0.00,0,15100.00,1.6
2023-07-18T10:00,23.0,27.1,0.00,0,14900.00,2.3
2023-07-18T11:00,23.5,27.9,0.00,2,12500.00,5.8
2023-07-18T12:00,25.2,29.7,0.00,2,17400.00,4.0
2023-07-18T13:00,26.3,30.7,0.00,2,19500.00,5.2
2023-07-18T14:00,27.4,33.1,0.00,0,19300.00,5.4
2023-07-18T15:00,28.5,32.8,0.00,96,18800.00,15.2
2023-07-18T16:00,29.3,32.2,0.00,3,24600.00,16.0
2023-07-18T17:00,22.1,25.5,7.20,63,3700.00,10.7
2023-07-18T18:00,26.3,31.3,0.00,2,2200.00,10.1
2023-07-18T19:00,26.5,31.1,0.00,3,17900.00,14.7
2023-07-18T20:00,25.6,28.4,0.00,3,19200.00,14.3
2023-07-18T21:00,25.4,28.5,0.00,1,17000.00,13.6
2023-07-18T22:00,26.9,30.2,0.00,0,20800.00,10.5
2023-07-18T23:00,27.1,30.4,0.00,1,21200.00,11.8
2023-07-19T00:00,26.1,29.6,0.00,0,20100.00,7.6
2023-07-19T01:00,24.8,27.5,0.00,0,20300.00,8.7
2023-07-19T02:00,25.0,29.0,0.00,0,18200.00,3.7
2023-07-19T03:00,24.6,28.6,0.00,0,17000.00,3.7
2023-07-19T04:00,24.4,27.1,0.00,0,18900.00,9.1
2023-07-19T05:00,23.4,25.7,0.00,0,19900.00,7.6
2023-07-19T06:00,23.2,25.2,0.00,0,21500.00,7.1
2023-07-19T07:00,22.4,24.6,0.00,0,19300.00,5.7
2023-07-19T08:00,21.8,24.5,0.00,0,17300.00,3.3
2023-07-19T09:00,21.5,24.1,0.00,0,17100.00,4.0
2023-07-19T10:00,21.2,23.9,0.00,3,17400.00,1.5
2023-07-19T11:00,22.3,25.1,0.00,3,18800.00,2.8
2023-07-19T12:00,22.9,25.0,0.00,3,20600.00,6.9
2023-07-19T13:00,24.1,27.3,0.00,3,20100.00,3.3
2023-07-19T14:00,26.4,28.2,0.00,3,33400.00,5.3
2023-07-19T15:00,26.3,28.5,0.00,3,30700.00,3.4
2023-07-19T16:00,25.3,27.0,0.00,3,28900.00,6.0
2023-07-19T17:00,24.1,27.1,0.00,3,16400.00,8.8
2023-07-19T18:00,24.8,28.3,0.00,3,16800.00,7.6
2023-07-19T19:00,25.8,29.1,0.00,3,21400.00,4.9
2023-07-19T20:00,27.2,30.3,0.00,3,23900.00,7.7
2023-07-19T21:00,27.6,30.6,0.00,1,25900.00,7.3
2023-07-19T22:00,27.6,31.0,0.00,3,26200.00,4.2
2023-07-19T23:00,26.3,29.1,0.00,1,23300.00,7.0
2023-07-20T00:00,25.2,27.4,0.00,3,21600.00,11.0
2023-07-20T01:00,23.7,26.7,0.00,1,15100.00,9.2
2023-07-20T02:00,23.4,27.2,0.00,0,15300.00,3.7
2023-07-20T03:00,22.7,26.6,0.00,0,13400.00,3.8
2023-07-20T04:00,22.3,26.5,0.00,2,12900.00,1.0
2023-07-20T05:00,22.1,26.0,0.00,0,12200.00,3.6
2023-07-20T06:00,22.0,25.6,0.00,0,12800.00,4.2
2023-07-20T07:00,21.7,25.5,0.00,0,12200.00,3.6
2023-07-20T08:00,21.2,25.1,0.00,0,12200.00,2.0
2023-07-20T09:00,21.1,24.7,0.00,1,12200.00,3.3
2023-07-20T10:00,21.5,25.4,0.00,2,1900.00,3.8
2023-07-20T11:00,22.0,25.4,0.00,2,12700.00,5.4
2023-07-20T12:00,23.8,26.8,0.00,1,18100.00,6.6
2023-07-20T13:00,25.5,27.4,0.00,0,26700.00,10.0
2023-07-20T14:00,27.2,28.8,0.00,0,36200.00,8.9
2023-07-20T15:00,28.9,30.6,0.00,1,41900.00,9.7
2023-07-20T16:00,29.4,32.4,0.00,0,47200.00,6.6
2023-07-20T17:00,30.5,33.1,0.00,0,48200.00,7.0
2023-07-20T18:00,30.3,33.0,0.00,1,46300.00,10.1
2023-07-20T19:00,30.6,33.3,0.00,1,41600.00,6.3
2023-07-20T20:00,29.3,29.8,0.00,2,38800.00,14.5
2023-07-20T21:00,29.0,29.6,0.00,2,39000.00,13.2
2023-07-20T22:00,29.0,29.0,0.00,0,44500.00,11.8
2023-07-20T23:00,27.9,27.6,0.00,0,41600.00,14.0
2023-07-21T00:00,26.6,27.0,0.00,0,35900.00,11.6
2023-07-21T01:00,26.0,26.5,0.00,0,38000.00,7.4
