id,venue_id,day,opening_time,closing_time
1,ven_30356e77514c7172685648526b6f7759524947385130624a496843,0,11,22
2,ven_30356e77514c7172685648526b6f7759524947385130624a496843,1,11,22
3,ven_30356e77514c7172685648526b6f7759524947385130624a496843,2,11,22
4,ven_30356e77514c7172685648526b6f7759524947385130624a496843,3,11,22
5,ven_30356e77514c7172685648526b6f7759524947385130624a496843,4,11,22
6,ven_30356e77514c7172685648526b6f7759524947385130624a496843,5,11,22
7,ven_30356e77514c7172685648526b6f7759524947385130624a496843,6,11,22
8,ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,0,9,21
9,ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,1,9,21
10,ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,2,9,21
11,ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,3,9,21
12,ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,4,9,21
13,ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,5,9,21
14,ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,6,9,21
15,ven_3038654c546f3936784873526b6f775a314864677151534a496843,0,11,14
16,ven_3038654c546f3936784873526b6f775a314864677151534a496843,1,11,20
17,ven_3038654c546f3936784873526b6f775a314864677151534a496843,2,11,20
18,ven_3038654c546f3936784873526b6f775a314864677151534a496843,3,11,20
19,ven_3038654c546f3936784873526b6f775a314864677151534a496843,4,11,21
20,ven_3038654c546f3936784873526b6f775a314864677151534a496843,5,11,20
21,ven_3038654c546f3936784873526b6f775a314864677151534a496843,6,12,18
22,ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,0,8,20
23,ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,1,8,20
24,ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,2,8,20
25,ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,3,8,20
26,ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,4,8,20
27,ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,5,8,20
28,ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,6,8,20
29,ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,0,11,22
30,ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,1,11,22
31,ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,2,11,22
32,ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,3,11,22
33,ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,4,11,22
34,ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,5,10,22
35,ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,6,10,22
36,ven_3046564f552d3633755343526b6f77595649495368324c4a496843,0,8,22
37,ven_3046564f552d3633755343526b6f77595649495368324c4a496843,1,8,22
38,ven_3046564f552d3633755343526b6f77595649495368324c4a496843,2,8,22
39,ven_3046564f552d3633755343526b6f77595649495368324c4a496843,3,8,22
40,ven_3046564f552d3633755343526b6f77595649495368324c4a496843,4,8,22
41,ven_3046564f552d3633755343526b6f77595649495368324c4a496843,5,8,22
42,ven_3046564f552d3633755343526b6f77595649495368324c4a496843,6,8,22
43,ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,0,11,22
44,ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,1,11,22
45,ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,2,11,22
46,ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,3,11,22
47,ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,4,11,22
48,ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,5,11,23
49,ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,6,11,23
50,ven_304961777454515336474c526b6f775a4e5173735733524a496843,0,11,21
51,ven_304961777454515336474c526b6f775a4e5173735733524a496843,1,11,21
52,ven_304961777454515336474c526b6f775a4e5173735733524a496843,2,11,21
53,ven_304961777454515336474c526b6f775a4e5173735733524a496843,3,11,21
54,ven_304961777454515336474c526b6f775a4e5173735733524a496843,4,11,21
55,ven_304961777454515336474c526b6f775a4e5173735733524a496843,5,17,21
56,ven_304961777454515336474c526b6f775a4e5173735733524a496843,6,17,21
57,ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,0,11,21
58,ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,1,11,21
59,ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,2,11,21
60,ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,3,11,21
61,ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,4,11,18
62,ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,5,22,2
63,ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,6,17,22
64,ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,0,11,23
65,ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,1,11,23
66,ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,2,11,23
67,ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,3,11,23
68,ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,4,11,23
69,ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,5,11,23
70,ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,6,11,23
71,ven_30506c5677346630437635526b6f775a78304d533079784a496843,0,17,22
72,ven_30506c5677346630437635526b6f775a78304d533079784a496843,1,17,22
73,ven_30506c5677346630437635526b6f775a78304d533079784a496843,2,17,22
74,ven_30506c5677346630437635526b6f775a78304d533079784a496843,3,17,22
75,ven_30506c5677346630437635526b6f775a78304d533079784a496843,4,17,22
76,ven_30506c5677346630437635526b6f775a78304d533079784a496843,5,17,22
77,ven_30506c5677346630437635526b6f775a78304d533079784a496843,6,-1,-1
78,ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,0,11,22
79,ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,1,11,22
80,ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,2,11,22
81,ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,3,11,22
82,ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,4,11,23
83,ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,5,11,23
84,ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,6,11,22
