ID,Rating,Price
ven_30356e77514c7172685648526b6f7759524947385130624a496843,4.4,2
ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,4.4,2
ven_303749644b67576e694b55526b6f7759685f4a445761324a496843,4.6,-1
ven_3038654c546f3936784873526b6f775a314864677151534a496843,4.7,-1
ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,4.6,2
ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,4.8,-1
ven_3046564f552d3633755343526b6f77595649495368324c4a496843,4.3,2
ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,4.4,2
ven_304961777454515336474c526b6f775a4e5173735733524a496843,4.6,4
ven_304a6c77747a366c755455526b6f77594a7070575959454a496843,4.7,-1
ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,3.9,2
ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,4.5,2
ven_30504d554d38614b6b6f78526b6f7759786267705963354a496843,4.4,3
ven_30506c5677346630437635526b6f775a78304d533079784a496843,4.5,-1
ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,4.3,1
ven_3068674e6f56796343637a526b6f7759743177664259304a496843,4.4,2
ven_306943706c304962617575526b6f77595249535675516f4a496843,4.4,2
ven_306c63565a476e6d385736526b6f775a39786b4a6755524a496843,4.7,-1
ven_306d686f6679537162766c526b6f77324c69717a3858594a496843,3.8,-1
ven_307063396f374b4b4e6b71526b6f7759564a316c35656e4a496843,4.5,3
ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,4.4,2
ven_3075502d337278736a3952526b6f775a4a72674a66616c4a496843,4.5,-1
ven_30782d4b5379586f66706d526b6f775a745f45477777774a496843,5,-1
ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,4.6,4
ven_34416b6a74734635334274526b6f775964314e46695a734a496843,4.4,2
ven_344c49766b705544393465526b6f77327244307a4159434a496843,4.8,-1
ven_344c563654744266547349526b6f7733506f68442d65734a496843,4.4,-1
ven_344d7478767a4b74377548526b6f7759566c78494a516d4a496843,4.4,2
ven_344f4d79636969674a4342526b6f775964314d7430536e4a496843,3.8,-1
ven_345049646f62573761314b526b6f773254786a4e3765534a496843,4.2,-1
ven_345253663836763832756f526b6f775a393563517377394a496843,4.6,-1
ven_345749524855354c344259526b6f775a56706b674639724a496843,4.7,2
ven_3458593235796c7441736f526b6f775a394c464d6c32774a496843,4.5,-1
ven_3461647039357657624c66526b6f775a39616d754d78594a496843,4.5,-1
ven_3466426a743170534d634c526b6f77594a76706c5363784a496843,4.8,-1
ven_3466483971693253303578526b6f7732765463666330384a496843,4.3,2
ven_346c6843676c5559377662526b6f775a354f49314937644a496843,4.5,-1
ven_346d334a45756f49467752526b6f775a5a62347130786d4a496843,3.9,-1
ven_34787a3570694c6e375964526b6f7759645a30414138594a496843,4.6,-1
ven_347a2d78444c59782d4f4f526b6f77594e3534494233744a496843,-1,-1
ven_3844456669735664576538526b6f775942716d6c4a5a4b4a496843,-1,-1
ven_3844703267353739533762526b6f775a7052724545786c4a496843,4.3,-1
ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,4.4,2
ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,4.5,3
