Id,Venue Name,Rating,Price
ven_30356e77514c7172685648526b6f7759524947385130624a496843,Han Dynasty Upper West Side,4.4,2
ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,Friedman’s,4.4,2
ven_303749644b67576e694b55526b6f7759685f4a445761324a496843,Strawberry Fields,4.6,
ven_3038654c546f3936784873526b6f775a314864677151534a496843,Time Square,4.7,
ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,TAP NYC | 100% Gluten-Free Sandwiches & Açaí Bowls | Upper West Side,4.6,2
ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,The Consulate,4.8,
ven_3046564f552d3633755343526b6f77595649495368324c4a496843,The Viand,4.3,2
ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,Carmine's Italian Restaurant - Upper West Side,4.4,2
ven_304961777454515336474c526b6f775a4e5173735733524a496843,The Capital Grille,4.6,4
ven_304a6c77747a366c755455526b6f77594a7070575959454a496843,Bethesda Terrace,4.7,
ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,Thyme & Tonic,3.9,2
ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,Chama Mama,4.5,2
ven_30504d554d38614b6b6f78526b6f7759786267705963354a496843,Athleta,4.4,3
ven_30506c5677346630437635526b6f775a78304d533079784a496843,Tatiana by Kwame Onwuachi,4.5,
ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,"Mamoun's Falafel - UWS, Manhattan, NY",4.3,1
ven_3068674e6f56796343637a526b6f7759743177664259304a496843,Mangia 57th - Midtown Italian Food & Corporate Catering NYC,4.4,2
ven_306943706c304962617575526b6f77595249535675516f4a496843,e's BAR,4.4,2
ven_306c63565a476e6d385736526b6f775a39786b4a6755524a496843,Franklin D. Roosevelt Four Freedoms State Park,4.7,
ven_306d686f6679537162766c526b6f77324c69717a3858594a496843,Central Markets,3.8,
ven_307063396f374b4b4e6b71526b6f7759564a316c35656e4a496843,J.Crew Men's Shop,4.5,3
ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,The Penrose,4.4,2
