venue_id,venue_lon,venue_lat,zone_id
ven_344c563654744266547349526b6f7733506f68442d65734a496843,-73.9365275,40.8041975,74
,,,
ven_385252516c6f7a32335439526b6f7759782d57657a5f744a496843,-73.9625475,40.7760566,236
ven_3873773153757568447453526b6f7759786250473457374a496843,,,-1
ven_415a37545a367078557066526b6f775a5a6271774a626e4a496843,-74.0010646,40.7533803,246
ven_416e6931744d78386b7a69526b6f775a357549446a7a2d4a496843,,,-1
ven_4172616d63443741336d36526b6f775a4e676b704654464a496843,,,-1
ven_4551746438656c42365158526b6f775a4e3641514a5a6b4a496843,-73.9925543,40.7394618,234
ven_456a3266757a4250707a4e526b6f775a524135576738364a496843,-73.966233,40.7710116,237
ven_456e54656a5a6276575936526b6f775a4e2d43744f5f644a496843,-73.9552754,40.7796391,236
ven_494a68323156454c57744d526b6f775935666f68472d764a496843,-73.9739283,40.7622994,163
ven_494d30494477545a4a657a526b6f7759563531734432524a496843,-73.959902,40.779781,236
ven_49625652563441766a3837526b6f775a427959317a51524a496843,,,-1
ven_4d566a675754566e775938526b6f775964767a734d342d4a496843,-73.9821026,40.7666966,163
ven_51446447416e773241794f526b6f775970494e52397a654a496843,-73.9803179,40.7783157,142
ven_51695f51454843725a5431526b6f775952656f495459354a496843,-73.9699129,40.758062,162
ven_51736a78682d7654687a38526b6f775a6c4f616d75646e4a496843,,,-1
ven_51765838504c5130754d69526b6f775a5a774e723436554a496843,-73.9915478,40.7348379,113
ven_517a647163634b746c6a42526b6f7759705f6c555f30424a496843,-73.9727616,40.7627542,163
ven_5555374d66394c73326e78526b6f775970593330655a794a496843,,,-1
ven_5555735448376450393335526b6f77597434376749586e4a496843,,,-1
ven_5936326a59676879566a2d526b6f7766397a6a6c3234694a496843,,,-1
ven_636a794c346b73704c3170526b6f7759784f53665161574a496843,-73.967672,40.769029,237
ven_674654784575357a4d434b526b6f7759784f764e4834544a496843,,,-1
ven_6764536f457a4f364e6465526b6f775a6c61724458646e4a496843,,,-1
ven_67726a544b332d45634264526b6f77595a5f4c735033704a496843,-73.9831811,40.7685811,142
ven_67786f6559776463355574526b6f77326a414755372d7a4a496843,-73.9320958,40.7947504,74
ven_6b4563334e683767613339526b6f7759705f584a50346e4a496843,-73.9745464,40.7626859,163
ven_6b51424e43484f644f6f73526b6f775a35624e537264554a496843,,,-1
ven_6b51657951327931574d79526b6f7759784f524154524f4a496843,-73.9668651,40.7694553,237
ven_6b55594a626a3067414767526b6f775a6c636c4d4433644a496843,,,-1
ven_6b6e4b49334a396b437432526b6f77594a596b4c435a634a496843,,,-1
ven_6b77466c386b7878434a49526b6f7759745f714274584f4a496843,-73.969202,40.767036,237
ven_6f3367575f457366717473526b6f7759565f577156546e4a496843,-73.9822199,40.7743313,142
ven_6f3757646a364b33624150526b6f77596c4954726e514c4a496843,,,-1
Fifth avenue,,,-1
ven_6f594839656b4567743841526b6f775a52616c495f54304a496843,-73.9932557,40.7426666,90
ven_73306a6956627357544e53526b6f7759784c7750352d514a496843,-73.9543739,40.7777874,263
ven_7349707841675455786e57526b6f7759703461757451474a496843,-73.9822195,40.7791294,143
ven_77452d65676a4430616250526b6f7759782d704b5454704a496843,-73.9657658,40.7716586,237
ven_305157613159704143554e526b6f77327a6a416944584d4a496843,,,-1
ven_306d686f6679537162766c526b6f77324c69717a3858594a496843,-73.9593431,40.8008246,24
ven_3075502d337278736a3952526b6f775a4a72674a66616c4a496843,-73.9948593,40.7549013,68
ven_344f4d79636969674a4342526b6f775964314d7430536e4a496843,-73.988721,40.764091,48
ven_345049646f62573761314b526b6f773254786a4e3765534a496843,-73.9546432,40.8084147,41
ven_345253663836763832756f526b6f775a393563517377394a496843,-73.9903945,40.7365303,234
ven_3458593235796c7441736f526b6f775a394c464d6c32774a496843,-74.0061439,40.7424396,68
ven_3466483971693253303578526b6f7732765463666330384a496843,-73.966287,40.8042464,166
ven_346d334a45756f49467752526b6f775a5a62347130786d4a496843,-74.0022892,40.7507129,246
